PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
96,97,HH Gibbs,23/02/1974,Right-hand bat,Right-arm bowler,South Africa
97,98,DNT Zoysa,13/05/1978,Left-hand bat,Left-arm fast-medium,Sri Lanka
98,99,D Kalyankrishna,16/12/1983,Right-hand bat,Right-arm medium-fast,India
99,100,SE Marsh,09/07/1983,Left-hand bat,Slow left-arm orthodox,Australia
100,101,SA Asnodkar,29/03/1984,Right-hand bat,Right-arm offbreak,India
101,102,Sohail Tanvir,12/12/1984,Left-hand bat,Left-arm medium-fast,Pakistan
102,103,Salman Butt,07/10/1984,Left-hand bat,Right-arm offbreak,Pakistan
103,104,BJ Hodge,29/12/1974,Right-hand bat,Right-arm offbreak,Australia
104,105,Umar Gul,14/04/1984,Right-hand bat,Right-arm fast-medium,Pakistan
105,106,AB Dinda,25/03/1984,Right-hand bat,Right-arm medium-fast,India
106,107,SP Fleming,01/04/1973,Left-hand bat,N/A,New Zealand
107,108,S Vidyut,03/12/1981,Left-hand bat,Slow left-arm orthodox,India
108,109,JA Morkel,10/06/1981,Left-hand bat,Right-arm medium-fast,South Africa
109,110,AB de Villiers,17/02/1984,Right-hand bat,Right-arm medium,South Africa
110,111,LPC Silva,14/12/1979,Right-hand bat,Legbreak,Sri Lanka
111,112,DB Ravi Teja,05/09/1987,Right-hand bat,Legbreak googly,India
112,113,Misbah-ul-Haq,28/05/1974,Right-hand bat,Legbreak,Pakistan
113,114,YV Takawale,05/11/1984,Right-hand bat,N/A,India
114,115,RR Raje,03/09/1986,Right-hand bat,Right-arm fast-medium,India
115,116,PJ Sangwan,05/11/1990,Right-hand bat,Left-arm medium,India
116,117,Mohammad Asif,20/12/1982,Left-hand bat,Right-arm fast-medium,Pakistan
117,118,GD McGrath,09/02/1970,Right-hand bat,Right-arm fast-medium,Australia
118,119,Joginder Sharma,23/10/1983,Right-hand bat,Right-arm fast-medium,India
119,120,MS Gony,04/01/1984,Right-hand bat,Right-arm medium,India
120,121,M Muralitharan,17/04/1972,Right-hand bat,Right-arm offbreak,Sri Lanka
121,122,M Ntini,06/07/1977,Right-hand bat,Right-arm fast,South Africa
122,123,DT Patil,06/12/1984,Right-hand bat,N/A,India
123,124,A Kumble,17/10/1970,Right-hand bat,Legbreak googly,India
124,125,S Anirudha,14/04/1987,Right-hand bat,N/A,India
125,126,MM Patel,12/07/1983,Right-hand bat,Right-arm medium-fast,India
126,127,CK Kapugedera,24/02/1987,Right-hand bat,Right-arm medium,Sri Lanka
127,128,A Chopra,19/09/1977,Right-hand bat,Right-arm offbreak,India
128,129,T Taibu,14/05/1983,Right-hand bat,Right-arm medium,Zimbabwea
129,130,J Arunkumar,18/01/1975,Right-hand bat,Right-arm offbreak,India
130,131,PP Ojha,05/09/1986,Left-hand bat,Slow left-arm orthodox,India
131,132,SP Goswami,18/05/1989,Left-hand bat,N/A,India
132,133,SR Tendulkar,24/04/1973,Right-hand bat,Right-arm offbreak,India
133,134,U Kaul,02/12/1987,Left-hand bat,N/A,India
134,135,TM Dilshan,14/10/1976,Right-hand bat,Right-arm offbreak,Sri Lanka
135,136,A Mishra,24/11/1982,Right-hand bat,Legbreak,India
136,137,AD Mascarenhas,30/10/1977,Right-hand bat,Right-arm fast-medium,England
137,138,NK Patel,26/03/1981,Left-hand bat,N/A,India
138,139,LA Pomersbach,28/09/1984,Left-hand bat,Right-arm offbreak,Australia
139,140,Iqbal Abdulla,02/12/1989,Left-hand bat,Slow left-arm orthodox,India
140,141,Younis Khan,29/11/1977,Right-hand bat,Right-arm medium,Pakistan
141,142,PM Sarvesh Kumar,26/04/1989,Right-hand bat,Right-arm medium,India
142,143,DP Vijaykumar,20/10/1986,Right-hand bat,Right-arm medium,India
143,144,Shoaib Akhtar,13/08/1975,Right-hand bat,Right-arm fast,Pakistan
144,145,Abdur Razzak,15/06/1982,Left-hand bat,Slow left-arm orthodox,Bangladesh
145,146,H Das,10/12/1986,Right-hand bat,N/A,India
146,147,DR Smith,12/04/1983,Right-hand bat,Right-arm medium,West Indies
147,148,SD Chitnis,06/05/1987,Right-hand bat,Right-arm offbreak,India
148,149,CRD Fernando,19/07/1979,Right-hand bat,Right-arm fast-medium,Sri Lanka
149,150,VS Yeligati,23/04/1985,Right-hand bat,Right-arm offbreak,India
150,151,L Balaji,27/09/1981,Right-hand bat,Right-arm medium-fast,India
151,152,A Mukund,06/01/1990,Left-hand bat,Legbreak googly,India
152,153,RR Powar,20/05/1978,Right-hand bat,Right-arm offbreak,India
153,154,JP Duminy,14/04/1984,Left-hand bat,Right-arm offbreak,South Africa
154,155,A Flintoff,06/12/1977,Right-hand bat,Right-arm fast-medium,England
155,156,T Thushara,01/03/1981,Left-hand bat,Left-arm fast-medium,Sri Lanka
156,157,JD Ryder,06/08/1984,Left-hand bat,Right-arm medium,New Zealand
157,158,KP Pietersen,27/06/1980,Right-hand bat,Right-arm offbreak,South Africa
158,159,T Henderson,01/08/1974,Right-hand bat,Right-arm fast-medium,South Africa
159,160,Kamran Khan,10/03/1991,Left-hand bat,Left-arm medium-fast,India
160,161,RS Bopara,04/05/1985,Right-hand bat,Right-arm medium,England
161,162,CH Gayle,21/09/1979,Left-hand bat,Right-arm offbreak,West Indies
162,163,MC Henriques,01/02/1987,Right-hand bat,Right-arm fast-medium,Australia
163,164,R Bishnoi,08/10/1987,Right-hand bat,Right-arm medium-fast,India
164,165,FH Edwards,06/02/1982,Right-hand bat,Right-arm fast,West Indies
165,166,KV Sharma,23/10/1987,Left-hand bat,Legbreak googly,India
166,167,PC Valthaty,07/12/1983,Right-hand bat,Right-arm medium,India
167,168,RJ Quiney,20/08/1982,Left-hand bat,Right-arm medium,Australia
168,169,AS Raut,03/03/1987,Right-hand bat,Legbreak googly,India
169,170,Yashpal Singh,27/11/1981,Right-hand bat,Right-arm medium,India
170,171,M Manhas,12/10/1979,Right-hand bat,Right-arm offbreak,India
171,172,AA Bilakhia,31/05/1986,Right-hand bat,Right-arm medium,India
172,173,AN Ghosh,19/10/1986,Right-hand bat,Right-arm medium,India
173,174,BAW Mendis,11/03/1985,Right-hand bat,Right-arm offbreak,Sri Lanka
174,175,DL Vettori,27/01/1979,Left-hand bat,Slow left-arm orthodox,New Zealand
175,176,MN van Wyk,20/03/1979,Right-hand bat,Slow left-arm orthodox,South Africa
176,177,RE van der Merwe,31/12/1984,Right-hand bat,Slow left-arm orthodox,South Africa
177,178,TL Suman,15/12/1983,Right-hand bat,Right-arm offbreak,India
178,179,Shoaib Ahmed,17/08/1990,Right-hand bat,Right-arm fast-medium,Pakistan
179,180,GR Napier,06/01/1980,Right-hand bat,Right-arm medium,England
180,181,KP Appanna,20/12/1988,Right-hand bat,Slow left-arm orthodox,India
181,182,LA Carseldine,17/11/1975,Left-hand bat,Left-arm medium,Australia
182,183,NV Ojha,20/07/1983,Right-hand bat,N/A,India
183,184,SM Harwood,01/03/1974,Right-hand bat,Right-arm fast-medium,Australia
184,185,M Vijay,01/04/1984,Right-hand bat,Right-arm offbreak,India
185,186,SB Jakati,27/11/1980,Left-hand bat,Slow left-arm orthodox,India
186,187,DA Warner,27/10/1986,Left-hand bat,Legbreak,Australia
187,188,RJ Harris,11/10/1979,Right-hand bat,Right-arm fast,Australia
188,189,D du Preez,08/11/1981,Right-hand bat,Right-arm fast-medium,South Africa
189,190,M Morkel,06/10/1984,Left-hand bat,Right-arm fast,South Africa
190,191,AD Mathews,02/06/1987,Right-hand bat,Right-arm fast-medium,Sri Lanka
191,192,J Botha,02/05/1982,Right-hand bat,Right-arm offbreak,South Africa
192,193,C Nanda,29/03/1979,Right-hand bat,Legbreak,India
193,194,SL Malinga,28/08/1983,Right-hand bat,Right-arm fast,Sri Lanka
194,195,Mashrafe Mortaza,05/10/1983,Right-hand bat,Right-arm fast-medium,Bangladesh
195,196,A Singh,21/06/1981,Right-hand bat,Right-arm medium-fast,India
196,197,GJ Bailey,07/09/1982,Right-hand bat,Right-arm medium,Australia
197,198,AB McDonald,05/06/1981,Right-hand bat,Right-arm fast-medium,Australia
198,199,Y Nagar,06/01/1990,Right-hand bat,Right-arm offbreak,India
199,200,SS Shaikh,18/01/1987,Right-hand bat,Right-arm medium,India
200,201,R Ashwin,17/09/1986,Right-hand bat,Right-arm offbreak,India
201,202,Mohammad Ashraful,07/07/1984,Right-hand bat,Right-arm offbreak,Bangladesh
202,203,CA Pujara,25/01/1988,Right-hand bat,Legbreak,India
203,204,OA Shah,22/10/1978,Right-hand bat,Right-arm offbreak,England
204,205,Anirudh Singh,02/08/1980,Left-hand bat,Right-arm medium,India
205,206,Jaskaran Singh,04/09/1989,Right-hand bat,Right-arm medium,India
206,207,AP Tare,07/11/1987,Right-hand bat,N/A,India
207,208,AT Rayudu,23/09/1985,Right-hand bat,Right-arm offbreak,India
208,209,R Sathish,14/01/1981,Right-hand bat,Right-arm medium,India
209,210,R McLaren,09/02/1983,Left-hand bat,Right-arm medium-fast,South Africa
210,211,AA Jhunjhunwala,01/12/1982,Right-hand bat,Right-arm offbreak,India
211,212,P Dogra,19/11/1984,Right-hand bat,Legbreak,India
212,213,A Uniyal,21/11/1981,Left-hand bat,Left-arm medium,India
213,214,MS Bisla,27/12/1984,Right-hand bat,N/A,India
214,215,YA Abdulla,17/01/1983,Left-hand bat,Left-arm fast-medium,India
215,216,EJG Morgan,10/09/1986,Left-hand bat,Right-arm medium,England
216,217,JM Kemp,02/10/1977,Right-hand bat,Right-arm fast-medium,South Africa
217,218,S Tyagi,17/09/1987,Right-hand bat,Right-arm medium,India
218,219,RS Gavaskar,20/02/1976,Left-hand bat,Slow left-arm orthodox,India
219,220,SE Bond,07/06/1975,Right-hand bat,Right-arm fast,New Zealand
220,221,KA Pollard,12/05/1987,Right-hand bat,Right-arm medium-fast,West Indies
221,222,S Ladda,10/07/1986,Right-hand bat,Legbreak,India
222,223,DP Nannes,16/05/1976,Right-hand bat,Left-arm fast,Australia
223,224,MJ Lumb,12/02/1980,Left-hand bat,Right-arm medium,England
224,225,DR Martyn,21/10/1971,Right-hand bat,Right-arm medium,Australia
225,226,S Narwal,16/04/1982,Left-hand bat,Right-arm medium,India
226,227,AB Barath,14/04/1990,Right-hand bat,Right-arm offbreak,India
227,228,Bipul Sharma,28/09/1983,Left-hand bat,Slow left-arm orthodox,India
228,229,FY Fazal,07/09/1985,Left-hand bat,Right-arm medium,India
229,230,AC Voges,04/10/1979,Right-hand bat,Slow left-arm orthodox,Australia
230,231,MD Mishra,09/02/1984,Right-hand bat,Right-arm offbreak,India
231,232,UT Yadav,25/10/1987,Right-hand bat,Right-arm fast-medium,India
232,233,J Theron,24/07/1985,Right-hand bat,Right-arm medium-fast,South Africa
233,234,SJ Srivastava,22/09/1981,Right-hand bat,Left-arm fast-medium,India
234,235,R Sharma,30/04/1987,Right-hand bat,Right-arm offbreak,India
235,236,Mandeep Singh,18/12/1991,Right-hand bat,Right-arm medium,India
236,237,KM Jadhav,26/03/1985,Right-hand bat,Right-arm offbreak,India
237,238,SW Tait,22/02/1983,Right-hand bat,Right-arm fast,Australia
238,239,KB Arun Karthik,15/02/1986,Right-hand bat,Legbreak googly,India
239,240,KAJ Roach,30/06/1988,Right-hand bat,Right-arm fast,West Indies
240,241,PD Collingwood,26/05/1976,Right-hand bat,Right-arm medium,England
241,242,CK Langeveldt,17/12/1974,Right-hand bat,Right-arm fast-medium,England
242,243,VS Malik,09/05/1983,Right-hand bat,Right-arm medium,India
243,244,A Mithun,25/10/1989,Right-hand bat,Right-arm medium,India
244,245,AP Dole,09/10/1987,Right-hand bat,Right-arm medium-fast,India
245,246,AN Ahmed,05/11/1988,Right-hand bat,Right-arm medium-fast,India
246,247,RS Sodhi,18/10/1980,Right-hand bat,Right-arm medium,India
247,248,DE Bollinger,24/07/1981,Left-hand bat,Left-arm fast-medium,Australia
248,249,S Sriram,21/02/1976,Left-hand bat,Slow left-arm orthodox,India
249,250,B Sumanth,10/05/1988,Right-hand bat,Right-arm medium-fast,India
250,251,C Madan,15/10/1982,Right-hand bat,N/A,India
251,252,AG Paunikar,18/04/1988,Right-hand bat,N/A,India
252,253,MR Marsh,20/10/1991,Right-hand bat,Right-arm medium,Australia
253,254,AJ Finch,17/11/1986,Right-hand bat,Slow left-arm orthodox,Australia
254,255,STR Binny,03/06/1984,Right-hand bat,Right-arm medium,India
255,256,Harmeet Singh,07/09/1992,Left-hand bat,Slow left-arm orthodox,India
256,257,IR Jaggi,27/01/1989,Right-hand bat,Legbreak googly,India
257,258,DT Christian,04/05/1983,Right-hand bat,Right-arm fast-medium,Australia
258,259,RV Gomez,16/10/1985,Right-hand bat,Right-arm medium,India
259,260,MA Agarwal,16/02/1991,Right-hand bat,N/A,India
260,261,AUK Pathan,17/06/1984,Right-hand bat,Right-arm medium,India
261,262,UBT Chand,26/03/1993,Right-hand bat,Right-arm offbreak,India
262,263,DJ Jacobs,04/11/1982,Right-hand bat,Right-arm medium,South Africa
263,264,Sunny Singh,18/12/1986,Right-hand bat,Right-arm medium-fast,India
264,265,NJ Rimmington,11/11/1982,Right-hand bat,Right-arm fast-medium,Australia
265,266,AL Menaria,29/10/1990,Left-hand bat,Slow left-arm orthodox,India
266,267,WD Parnell,30/07/1989,Left-hand bat,Left-arm medium-fast,South Africa
267,268,JJ van der Wath,10/01/1978,Right-hand bat,Right-arm medium-fast,South Africa
268,269,R Ninan,19/11/1985,Right-hand bat,Right-arm offbreak,India
269,270,S Aravind,08/04/1984,Left-hand bat,Left-arm medium-fast,India
270,271,MS Wade,26/12/1987,Left-hand bat,Right-arm medium,Australia
271,272,TD Paine,08/12/1984,Right-hand bat,Right-arm medium,Australia
272,273,SB Wagh,09/10/1988,Left-hand bat,Left-arm medium-fast,India
273,274,AC Thomas,09/02/1977,Right-hand bat,Right-arm fast-medium,England
274,275,JEC Franklin,07/11/1980,Left-hand bat,Left-arm medium,New Zealand
275,276,Shakib Al Hasan,24/03/1987,Left-hand bat,Slow left-arm orthodox,Bangladesh
276,277,DH Yagnik,22/06/1983,Left-hand bat,N/A,India
277,278,S Randiv,30/01/1985,Right-hand bat,Right-arm offbreak,Sri Lanka
278,279,BJ Haddin,23/10/1977,Right-hand bat,N/A,Australia
279,280,NLTC Perera,03/04/1989,Left-hand bat,Right-arm medium-fast,Sri Lanka
280,281,NL McCullum,01/09/1980,Right-hand bat,Right-arm offbreak,New Zealand
281,282,JE Taylor,22/06/1984,Right-hand bat,Right-arm fast,New Zealand
282,283,J Syed Mohammad,03/06/1983,Left-hand bat,Slow left-arm orthodox,India
283,284,RN ten Doeschate,30/06/1980,Right-hand bat,Right-arm medium-fast,Netherlands
284,285,TR Birt,09/12/1981,Left-hand bat,Right-arm medium,Australia
285,286,AG Murtaza,01/01/1990,Left-hand bat,Slow left-arm orthodox,India
286,287,Harpreet Singh,11/08/1991,Left-hand bat,Right-arm medium,India
287,288,M Klinger,04/07/1980,Right-hand bat,N/A,Australia
288,289,AC Blizzard,27/06/1984,Left-hand bat,Left-arm medium,Australia
289,290,I Malhotra,23/05/1984,Right-hand bat,Right-arm medium-fast,India
290,291,L Ablish,03/12/1982,Right-hand bat,Right-arm medium-fast,India
291,292,CA Ingram,03/07/1985,Left-hand bat,Legbreak,South Africa
292,293,S Nadeem,12/08/1989,Right-hand bat,Slow left-arm orthodox,India
293,294,P Parameswaran,30/05/1985,Right-hand bat,Left-arm medium,India
294,295,CJ Ferguson,21/11/1984,Right-hand bat,Right-arm medium,Australia
295,296,VR Aaron,29/10/1989,Right-hand bat,Right-arm fast,India
296,297,AA Chavan,28/10/1985,Left-hand bat,Slow left-arm orthodox,India
297,298,ND Doshi,06/10/1978,Right-hand bat,Slow left-arm orthodox,India
298,299,B Kumar,05/02/1990,Right-hand bat,Right-arm medium,India
299,300,Y Gnaneswara Rao,25/08/1984,Right-hand bat,Right-arm medium,India
300,301,S Rana,18/09/1984,Right-hand bat,Right-arm medium-fast,India
301,302,BA Bhatt,13/05/1990,Left-hand bat,Slow left-arm orthodox,India
302,303,F du Plessis,13/07/1984,Right-hand bat,Legbreak,South Africa
303,304,RE Levi,14/01/1988,Right-hand bat,Right-arm medium,South Africa
304,305,GJ Maxwell,14/10/1988,Right-hand bat,Right-arm offbreak,Australia
305,306,SPD Smith,02/06/1989,Right-hand bat,Legbreak googly,India
306,307,MN Samuels,05/02/1981,Right-hand bat,Right-arm offbreak,West Indies
307,308,SA Yadav,14/09/1990,Right-hand bat,Right-arm offbreak,India
308,309,KK Cooper,16/02/1989,Right-hand bat,Right-arm medium,West Indies
309,310,JP Faulkner,29/04/1990,Right-hand bat,Left-arm fast-medium,Australia
310,311,HV Patel,23/11/1990,Right-hand bat,Right-arm medium,India
311,312,DAJ Bracewell,28/09/1990,Right-hand bat,Right-arm fast-medium,New Zealand
312,313,DJ Harris,31/12/1979,Right-hand bat,Right-arm medium,Australia
313,314,Ankit Sharma,20/04/1991,Left-hand bat,Slow left-arm orthodox,India
314,315,SP Narine,26/05/1988,Left-hand bat,Right-arm offbreak,West Indies
315,316,GB Hogg,06/02/1971,Left-hand bat,Slow left-arm chinaman,Australia
316,317,RR Bhatkal,01/09/1985,Right-hand bat,Right-arm medium,India
317,318,CJ McKay,20/02/1983,Right-hand bat,Right-arm fast-medium,Australia
318,319,N Saini,28/10/1988,Right-hand bat,N/A,India
319,320,DA Miller,10/06/1989,Left-hand bat,Right-arm offbreak,South Africa
320,321,Azhar Mahmood,28/02/1975,Right-hand bat,Right-arm fast-medium,Pakistan
321,322,P Negi,06/01/1993,Left-hand bat,Slow left-arm orthodox,India
322,323,RJ Peterson,04/08/1979,Left-hand bat,Slow left-arm orthodox,South Africa
323,324,KMDN Kulasekara,22/07/1982,Right-hand bat,Right-arm fast-medium,Sri Lanka
324,325,A Ashish Reddy,24/02/1991,Right-hand bat,Right-arm medium,India
325,326,V Pratap Singh,03/05/1992,Right-hand bat,Right-arm medium,India
326,327,BB Samantray,14/12/1988,Right-hand bat,N/A,India
327,328,MJ Clarke,02/04/1981,Right-hand bat,Slow left-arm orthodox,Australia
328,329,Gurkeerat Singh,29/06/1990,Right-hand bat,Right-arm offbreak,India
329,330,AP Majumdar,30/04/1984,Right-hand bat,Legbreak googly,India
330,331,PA Reddy,11/02/1991,Right-hand bat,Legbreak,India
331,332,K Upadhyay,18/06/1986,Right-hand bat,Right-arm medium,India
332,333,P Awana,19/07/1986,Right-hand bat,Right-arm medium,India
333,334,AD Russell,29/04/1988,Right-hand bat,Right-arm fast,West Indies
334,335,A Chandila,05/12/1983,Right-hand bat,Right-arm offbreak,India
335,336,CA Lynn,10/04/1990,Right-hand bat,Slow left-arm orthodox,Australia
336,337,Sunny Gupta,27/09/1988,Right-hand bat,Right-arm offbreak,India
337,338,MC Juneja,12/09/1990,Right-hand bat,Right-arm offbreak,India
338,339,KK Nair,06/12/1991,Right-hand bat,Right-arm offbreak,India
339,340,GH Vihari,13/10/1993,Right-hand bat,Right-arm offbreak,India
340,341,MDKJ Perera,17/08/1990,Left-hand bat,N/A,Sri Lanka
341,342,R Shukla,28/08/1990,Right-hand bat,Right-arm medium,India
342,343,B Laughlin,03/10/1982,Right-hand bat,Right-arm fast-medium,Australia
343,344,AS Rajpoot,04/12/1993,Right-hand bat,Right-arm medium,India
344,345,M Vohra,18/07/1993,Right-hand bat,Right-arm medium,India
345,346,JD Unadkat,18/10/1991,Right-hand bat,Left-arm medium,India
346,347,Mohammed Shami,03/09/1990,Right-hand bat,Right-arm fast-medium,India
347,348,BMAJ Mendis,15/01/1983,Left-hand bat,Legbreak,Sri Lanka
348,349,R Rampaul,15/10/1984,Left-hand bat,Right-arm fast-medium,West Indies
349,350,CH Morris,30/04/1987,Right-hand bat,Right-arm fast-medium,South Africa
350,351,SV Samson,11/11/1994,Right-hand bat,N/A,India
351,352,SMSM Senanayake,09/02/1985,Right-hand bat,Right-arm offbreak,Sri Lanka
352,353,BJ Rohrer,26/03/1981,Left-hand bat,N/A,Australia
353,354,KL Rahul,18/04/1992,Right-hand bat,N/A,India
354,355,Q de Kock,17/12/1992,Left-hand bat,N/A,South Africa
355,356,R Dhawan,19/02/1990,Right-hand bat,Right-arm medium-fast,India
356,357,MG Johnson,02/11/1981,Left-hand bat,Left-arm fast,Australia
357,358,LJ Wright,07/03/1985,Right-hand bat,Right-arm medium-fast,England
